arm,regime,train_N,deploy_N,noise_ratio,n_params,viol_pre,viol_k1,viol_k5,ill_pct_pre,ill_pct_k1,ill_pct_k5,nn_pre,nn_k1,nn_k5,kg_pre,kg_k1,kg_k5,disp_k1,disp_k5,viol_red_k1,viol_red_k5,knn_keep_k5,uniform_frac_k1,nn_cv_pre,nn_cv_k5,checkpoint
traj_bridge_maxagg,synthetic,49,49,0.6,350594,0.0012976207071915269,0.00011525388981681317,9.72013481259637e-07,4.024500399827957,1.6687924042344093,0.0478316331282258,0.1002814993262291,0.1371328979730606,0.14220187067985535,0.2259686291217804,0.03483237698674202,0.010555069893598557,0.0347357876598835,0.04242951050400734,58.53416969173121,98.81148893815651,0.6675572991371155,0.0241810642182827,0.3494243025779724,0.005986303556710482,E:\VSCode\CorrectorWorkshop\artifacts\training\train_run_2026-08-10_13-31-01\model_best.pt
traj_bridge_maxagg,trajectory,49,2500,0.6,350594,,,,99.39199999999998,,88.25066666666666,0.014571923631629043,,0.01950434309674654,0.3331339220205943,,0.1495171089967092,,,,,,,,,E:\VSCode\CorrectorWorkshop\artifacts\training\train_run_2026-08-10_13-31-01\model_best.pt
arch_pointnet2_n49_noise1.0,synthetic,49,49,1.0,350240,0.0017411690205335617,0.0013489238917827606,0.0007868497632443905,4.618410021066666,3.9487671107053757,3.3668152987957,0.09185291081666946,0.09820207208395004,0.1123751550912857,0.3501448631286621,0.21713586151599884,0.12487667798995972,0.026800086721777916,0.0415295772254467,14.499424625739943,27.10011507429965,0.6971349120140076,0.30929988622665405,0.40890777111053467,0.26844659447669983,E:\VSCode\CorrectorWorkshop\artifacts\training\train_run_2026-08-10_14-09-03\model_best.pt
bridge_nonorm,synthetic,49,49,0.6,350594,0.0012976207071915269,0.00021838635439053178,1.7084199498640373e-05,4.024500399827957,2.197597734630108,0.5314625799655914,0.1002814993262291,0.13325467705726624,0.14164578914642334,0.2259686440229416,0.04121318459510803,0.01960446499288082,0.03285045176744461,0.040470611304044724,45.39451964248754,86.79432155643619,0.6562715768814087,0.02811802178621292,0.3494243025779724,0.019411319866776466,E:\VSCode\CorrectorWorkshop\artifacts\training\train_run_2026-08-10_14-01-09\model_best.pt
traj_bridge_nonorm,synthetic,49,49,0.6,350594,0.0012976207071915269,0.00021838632528670132,1.7084134015021846e-05,4.024500399827957,2.197597734630108,0.5314625799655914,0.1002814993262291,0.13325467705726624,0.14164580404758453,0.2259686291217804,0.041213177144527435,0.019604451954364777,0.03285044804215431,0.040470611304044724,45.39451964248754,86.79432155643619,0.6562715768814087,0.02811797708272934,0.3494243025779724,0.019411291927099228,E:\VSCode\CorrectorWorkshop\artifacts\training\train_run_2026-08-10_14-01-09\model_best.pt
traj_bridge_nonorm,trajectory,49,2500,0.6,350594,,,,99.39199999999998,,85.02666666666667,0.014571923631629043,,0.01948240228313765,0.3331339220205943,,0.12038301477829615,,,,,,,,,E:\VSCode\CorrectorWorkshop\artifacts\training\train_run_2026-08-10_14-01-09\model_best.pt
bridge_dgcnnmech,synthetic,49,49,0.6,351638,0.0012976207071915269,0.0003201624203938991,3.8510665035573766e-05,4.024500399827957,2.4872448295354843,0.9420174174010754,0.1002814993262291,0.1297982782125473,0.14056788384914398,0.2259686440229416,0.05802738294005394,0.026038791984319687,0.031080879271030426,0.0373331680893898,38.19742489189679,76.59293496041533,0.6699573993682861,0.03649846464395523,0.3494243025779724,0.029056277126073837,E:\VSCode\CorrectorWorkshop\artifacts\training\train_run_2026-08-10_15-04-50\model_best.pt
bridge_knngraph,synthetic,49,49,0.6,350594,0.0012976207071915269,0.0012976208236068487,0.0012976208236068487,4.024500399827957,4.024500399827957,4.024500399827957,0.1002814993262291,0.1002814993262291,0.1002814918756485,0.2259686440229416,0.2259686440229416,0.2259686440229416,0.23758791387081146,1.1879395246505737,0.0,0.0,1.0,0.9999997019767761,0.3494243025779724,0.3494243323802948,E:\VSCode\CorrectorWorkshop\artifacts\training\train_run_2026-08-10_14-31-25\model_best.pt
bridge_noperiod,synthetic,49,49,0.6,350594,0.0012976207071915269,0.0012976209400221705,0.0012976209400221705,4.024500399827957,4.024500399827957,4.024500399827957,0.1002814993262291,0.1002814993262291,0.1002814993262291,0.2259686440229416,0.2259686440229416,0.2259686291217804,0.23758791387081146,1.1879394054412842,0.0,0.0,1.0,0.9999997019767761,0.3494243025779724,0.3494243025779724,E:\VSCode\CorrectorWorkshop\artifacts\training\train_run_2026-08-10_14-52-36\model_best.pt
bridge_baseline,synthetic,49,49,0.6,350594,0.0012976207071915269,0.0002697557501960546,2.9526847356464714e-05,4.024500399827957,2.415497414767742,0.7852359674870968,0.1002814993262291,0.1315212994813919,0.14121542870998383,0.2259686440229416,0.04576271027326584,0.024487733840942383,0.03210112079977989,0.039175014942884445,39.98019148149266,80.48861010064337,0.6655219197273254,0.04116407036781311,0.3494243025779724,0.02456538937985897,E:\VSCode\CorrectorWorkshop\artifacts\training\train_run_2026-08-10_15-17-56\model_best.pt
seed_dgcnn_noise1.0_s1,synthetic,49,49,1.0,348692,0.0017411690205335617,0.00048567456542514265,8.246079232776538e-05,4.618410021066666,3.103741444647312,1.5651572495698929,0.09185291081666946,0.12375625967979431,0.13854344189167023,0.3501448631286621,0.08032256364822388,0.04104004427790642,0.040870487689971924,0.04876525700092316,32.79631760584035,66.11047180545711,0.6369490623474121,0.0850837230682373,0.40890777111053467,0.04094448685646057,E:\VSCode\CorrectorWorkshop\artifacts\training\train_run_2026-08-10_12-46-53\model_best.pt
seed_dgcnn_noise1.0_s3,synthetic,49,49,1.0,348692,0.0017411690205335617,0.0004130838206037879,5.341373253031634e-05,4.618410021066666,2.9722044244408607,1.2582376599311829,0.09185291081666946,0.1262158304452896,0.13970769941806793,0.3501448631286621,0.06745985895395279,0.03593144565820694,0.04149193689227104,0.049420375376939774,35.644418871610696,72.75604142558792,0.6304332613945007,0.09915685653686523,0.40890777111053467,0.0335821658372879,E:\VSCode\CorrectorWorkshop\artifacts\training\train_run_2026-08-10_14-30-07\model_best.pt
traj_pointnet_noise0.6,synthetic,49,49,0.6,351914,0.0012976207071915269,0.0012975797289982438,0.0012974240817129612,4.024500399827957,4.023171588778496,4.01785708963871,0.1002814993262291,0.10028017312288284,0.10026421397924423,0.2259686291217804,0.22593027353286743,0.22582556307315826,0.16800491511821747,0.8400087952613831,0.033014196103627304,0.1650709805181365,0.9836006760597229,0.9999998211860657,0.3494243025779724,0.349400132894516,E:\VSCode\CorrectorWorkshop\artifacts\training\train_run_2026-08-10_11-01-18\model_best.pt
traj_pointnet_noise0.6,trajectory,49,2500,0.6,351914,,,,99.39199999999998,,99.38933333333331,0.014571923631629043,,0.014572472847172483,0.3331339220205943,,0.3337752183278402,,,,,,,,,E:\VSCode\CorrectorWorkshop\artifacts\training\train_run_2026-08-10_11-01-18\model_best.pt
loss_pure_sph,synthetic,49,49,0.6,350594,0.0012976207071915269,0.002301533706486225,0.0021766272839158773,4.024500399827957,4.943930730223656,4.80840764939785,0.1002814993262291,0.07497648149728775,0.07619917392730713,0.2259686440229416,0.3630441129207611,0.39482322335243225,0.11412781476974487,0.2601502537727356,-22.845823703710096,-19.47837570114011,0.13233682513237,0.19812510907649994,0.3494243025779724,0.4630976617336273,E:\VSCode\CorrectorWorkshop\artifacts\training\train_run_2026-07-22_13-21-32\model_best.pt
traj_pure_sph,synthetic,49,49,0.6,350594,0.0012976207071915269,0.0023015339393168688,0.002176511799916625,4.024500399827957,4.943930730223656,4.805750399827957,0.1002814993262291,0.07497648149728775,0.07620729506015778,0.2259686291217804,0.3630440831184387,0.3948342800140381,0.11412782222032547,0.2601501941680908,-22.845823703710096,-19.412347308932855,0.13239479064941406,0.1981249898672104,0.3494243025779724,0.4630616009235382,E:\VSCode\CorrectorWorkshop\artifacts\training\train_run_2026-07-22_13-21-32\model_best.pt
traj_pure_sph,trajectory,49,2500,0.6,350594,,,,99.39199999999998,,96.88266666666667,0.014571923631629043,,0.010587669862634807,0.3331339220205943,,3.008865753809611,,,,,,,,,E:\VSCode\CorrectorWorkshop\artifacts\training\train_run_2026-07-22_13-21-32\model_best.pt
traj_gns_noise1.0_s1,synthetic,49,49,1.0,347966,0.0017411690205335617,0.0002119506971212104,1.2847038306063041e-05,4.618409648537636,2.4407418444752693,0.387967680580914,0.09185289591550827,0.1336466372013092,0.14151403307914734,0.3501448631286621,0.04777511581778526,0.02093501016497612,0.043773192912340164,0.05310002714395523,47.15189873330906,91.599539699119,0.6035540699958801,0.022862084209918976,0.40890786051750183,0.01595342718064785,E:\VSCode\CorrectorWorkshop\artifacts\training\train_run_2026-08-10_16-02-03\model_best.pt
traj_gns_noise1.0_s1,trajectory,49,2500,1.0,347966,,,,99.39199999999998,,78.84533333333334,0.014571923631629043,,0.019640670887629722,0.3331339220205943,,0.14268786907196046,,,,,,,,,E:\VSCode\CorrectorWorkshop\artifacts\training\train_run_2026-08-10_16-02-03\model_best.pt
loss_lam2_0,synthetic,49,49,0.6,350594,0.0012976207071915269,0.0012976202415302396,0.001297617913223803,4.024500399827957,4.024500399827957,4.024500399827957,0.1002814993262291,0.10028153657913208,0.10028164833784103,0.2259686440229416,0.22596879303455353,0.22596940398216248,0.23758667707443237,1.1879334449768066,0.0,0.0,1.0,1.0000001192092896,0.3494243025779724,0.3494231104850769,E:\VSCode\CorrectorWorkshop\artifacts\training\train_run_2026-08-10_16-07-37\model_best.pt
traj_nokernel_s2,synthetic,49,49,0.6,351638,0.0012976207071915269,0.0002867296279873699,2.3969128960743546e-05,4.024500399827957,2.4593431502580643,0.7413902785629034,0.1002814993262291,0.13078291714191437,0.140917107462883,0.2259686291217804,0.0434514656662941,0.024382486939430237,0.03117220103740692,0.03860170394182205,38.89072301007296,81.57807857206306,0.6689674258232117,0.031600221991539,0.3494243025779724,0.021529365330934525,E:\VSCode\CorrectorWorkshop\artifacts\training\train_run_2026-08-10_17-52-10\model_best.pt
traj_nokernel_s2,trajectory,49,2500,0.6,351638,,,,99.39199999999998,,78.77600000000001,0.014571923631629043,,0.019503829627440867,0.3331339220205943,,0.14862248400847117,,,,,,,,,E:\VSCode\CorrectorWorkshop\artifacts\training\train_run_2026-08-10_17-52-10\model_best.pt
